Job Title,Location,Company,Job Type,Pay,Rating
"Senior Software Engineer, Frontend",Remote,Source,Full-time,"$155,000 - $175,000 a year",3.8
Full-stack Software Engineer,Remote,AfterQuery,Part-time,$30 - $60 an hour,N/A
Software Engineer (Full Stack) - Green Team,Remote in Newtown,Law School Admission Council,Full-time,"$108,000 - $115,000 a year",3.5
Software Engineer II,Denver,"VIZIO, Inc.",Full-time,"$95,000 - $125,000 a year",3.6
Senior Full Stack Software Developer,Remote,Capital Rx,Full-time,"$150,000 - $180,000 a year",3
Software Engineer III,Denver,"VIZIO, Inc.",Full-time,"$100,000 - $140,000 a year",3.6
"Software Engineer, Cybersecurity",Hybrid work in Santa Clara,Johnson & Johnson,Full-time,"$89,000 - $165,600 a year",4.2
Mid-level Back-end Software Developer,Remote,CareCentrix,Full-time,"$70,000 - $100,000 a year",2.8
Software Engineer,New York,JPMorganChase,Full-time,"$175,600 - $185,000 a year",3.9
Software Developer,Remote,Group O,Full-time,"$90,000 - $120,000 a year",3
Software Engineer II,Remote in United States,Seismic,Full-time,"$90,400 - $155,900 a year",3.8
Associate Software Engineer,Remote,Intrepid Studios,Full-time,"$80,000 - $112,000 a year",3.5
Java Software Engineer-US,Remote,Bellwood Labs,Full-time,"$80,000 - $110,000 a year",N/A
Entry Level Software Developer,Culver City,Property Matrix,Full-time,"$50,000 - $80,000 a year",4.8
Senior Software Engineer,Remote,"Guidewire Software, Inc.",Full-time,"$144,000 - $240,000 a year",3.7
"Staff Software Engineer, Full Stack",Remote,Headspace,Full-time,"$140,400 - $224,250 a year",3.6
Senior Software Development Engineer,Remote,Information Technology Senior Management Forum,Full-time,"$106,900 - $178,100 a year",N/A
Software Engineer,Seattle,Splunk,Full-time,"$117,120 - $201,300 a year",4.1
Software Engineer II,Redmond,Microsoft,Full-time,"$98,300 - $208,800 a year",4.2
Software Engineer,Remote,Ethena,Full-time,"$135,000 - $205,000 a year",N/A
Senior Full Stack Software Engineer,Hybrid work in Boston,John Hancock,Full-time,"$104,860 - $194,740 a year",4
Software Engineer III,Hybrid work in San Mateo,"Guidewire Software, Inc.",Full-time,"$120,000 - $204,000 a year",3.7
Software Developer Senior,Seattle,Moss Adams,Full-time,"$87,000 - $133,000 a year",3.6
Senior Software Engineer,Remote in Rochester,Expleo,Contract,"$122,000 - $133,000 a year",3
"Software Engineer, Backend",San Francisco,Decagon,Full-time,"$170,000 - $270,000 a year",2.9
Software Engineer - Full Stack (Java),Hybrid work in San Mateo,"Guidewire Software, Inc.",Full-time,"$120,000 - $204,000 a year",3.7
Software Engineer (Full Stack) - Black Team,Remote in Newtown,Law School Admission Council,Full-time,"$108,000 - $115,000 a year",3.5
Software Developer,Remote,SDH Systems,Full-time,"$141,378 a year",N/A
Senior Software Engineer,Raleigh,"Red Hat, Inc.",Full-time,"$116,270 - $191,840 a year",4
Frontend Software Engineer,Hybrid work in San Jose,Zoom,Full-time,$98 an hour,3.9
Software Engineer - Backend,Palo Alto,Rivian,Full-time,"$116,300 - $145,400 a year",2.7
Software Engineer,Remote,Two Barrels,Full-time,"$90,000 - $140,000 a year",N/A
Senior Software Engineer,Remote,Bixal,Full-time,"$130,000 - $135,000 a year",3.4
Software Engineer - Backend,Remote,Evolent Health,Full-time,"$120,000 - $135,000 a year",3
Software Engineer - Backend,San Mateo,Rakuten,Full-time,"$96,442.50 - $163,680.00 a year",3.4
Senior Software Engineer,Remote,Advantage Pro,Full-time,$70 - $80 an hour,N/A
Software Engineer,San Francisco,Delta Dental,Full-time,"$124,505 - $155,605 a year",4.1
Software Engineer,San Francisco,University of California San Francisco,Full-time,"$63,700 - $136,100 a year",4.1
Senior Software Engineer,Hybrid work in San Mateo,"Guidewire Software, Inc.",Full-time,"$144,000 - $240,000 a year",3.7
Software Engineer ( Fullstack) -,San Mateo,Rekuten Global,Full-time,"$96,442.50 - $163,680.00 a year",3.4
Software Engineer II,New York,Mastercard,Full-time,"$110,000 - $176,000 a year",4
Software Engineer II,Remote in Buffalo,M&T Bank,Full-time,"$136,500 - $146,500 a year",3.4
Sr Software Engineer,Remote in Minneapolis,Ameriprise Financial,Full-time,"$141,898 - $173,500 a year",3.8
"Senior Software Engineer, Full Stack",Plano,Information Technology Senior Management Forum,Full-time,"$144,200 - $181,000 a year",N/A
"Software Engineer, Full Stack",Hybrid work in Greenwood Village,CoBank,Full-time,"$89,600 - $110,160 a year",3.3
"Software Development Engineer II, Core Customer Experience",Hybrid work in Seattle,Remitly,Full-time,"$136,000 - $170,000 a year",3.4
Senior Software Engineer,Remote in Chicago,Intelsat,N/A,N/A,N/A
Software Engineer I,Seattle,Payscale,N/A,N/A,N/A
Senior Software Development Engineer,Remote in Seattle,Remitly,N/A,N/A,N/A
Software Engineer,San Jose,Adobe,N/A,N/A,N/A
"Software Engineer, Full Stack",Remote,Coinbase,N/A,N/A,N/A
Senior Software Engineer,Atlanta,"Intercontinental Exchange Holdings, Inc.",N/A,N/A,N/A
"Senior Software Engineer, API Team",Hybrid work in Minneapolis,SmartThings,N/A,N/A,N/A
"Senior Software Developer, Product",Remote,Endpoint Clinical,N/A,N/A,N/A
Software Engineer II,Remote,Harvest NYC,N/A,N/A,N/A
Software Developer,Irvine,SmartStop Self Storage,N/A,N/A,N/A
"Senior, Software Engineer",Denver,"VIZIO, Inc.",N/A,N/A,N/A
Full Stack Engineer,Remote,Bixal,N/A,N/A,N/A
Senior Software Engineer - (C#/Microservices/Azure) - REMOTE,Remote in Chevy Chase,GEICO,N/A,N/A,N/A
